_startDate,_endDate,_value
2021-03-16 15:21:49 +0200,2021-03-16 15:23:13 +0200,0
2021-03-16 20:21:34 +0200,2021-03-16 20:23:15 +0200,0
2021-03-16 20:30:49 +0200,2021-03-16 20:31:05 +0200,0
2021-03-16 20:34:00 +0200,2021-03-16 20:38:59 +0200,0
2021-03-16 20:38:59 +0200,2021-03-16 20:39:28 +0200,0
2021-03-17 12:09:08 +0200,2021-03-17 12:13:07 +0200,0
2021-03-17 12:21:02 +0200,2021-03-17 12:23:58 +0200,0.05
2021-03-17 12:26:01 +0200,2021-03-17 12:26:47 +0200,0.06
2021-03-17 12:27:02 +0200,2021-03-17 12:27:22 +0200,0.08
2021-03-17 12:29:27 +0200,2021-03-17 12:29:51 +0200,0.18
2021-03-17 12:43:02 +0200,2021-03-17 12:48:01 +0200,0
2021-03-17 12:48:01 +0200,2021-03-17 12:48:34 +0200,0
2021-03-17 16:50:06 +0200,2021-03-17 16:55:05 +0200,0
2021-03-17 17:37:20 +0200,2021-03-17 17:37:32 +0200,0
2021-03-17 17:38:29 +0200,2021-03-17 17:39:47 +0200,0
2021-03-17 17:40:14 +0200,2021-03-17 17:41:26 +0200,0
2021-03-17 17:50:34 +0200,2021-03-17 17:51:41 +0200,0
2021-03-17 18:01:36 +0200,2021-03-17 18:06:15 +0200,0
2021-03-17 19:15:47 +0200,2021-03-17 19:16:08 +0200,0.1
2021-03-17 19:16:36 +0200,2021-03-17 19:17:23 +0200,0
2021-03-17 19:53:19 +0200,2021-03-17 19:53:35 +0200,0
2021-03-17 19:56:24 +0200,2021-03-17 19:57:01 +0200,0
2021-03-18 10:18:57 +0200,2021-03-18 10:21:48 +0200,0
2021-03-18 12:27:56 +0200,2021-03-18 12:28:14 +0200,0
2021-03-18 12:34:12 +0200,2021-03-18 12:34:33 +0200,0
2021-03-18 12:41:10 +0200,2021-03-18 12:41:46 +0200,0
2021-03-18 12:42:18 +0200,2021-03-18 12:42:51 +0200,0
2021-03-18 12:52:28 +0200,2021-03-18 12:52:46 +0200,0
2021-03-18 12:56:05 +0200,2021-03-18 12:56:35 +0200,0
2021-03-18 12:57:20 +0200,2021-03-18 12:58:16 +0200,0
2021-03-18 12:58:31 +0200,2021-03-18 12:58:45 +0200,0
2021-03-18 13:00:25 +0200,2021-03-18 13:04:14 +0200,0
2021-03-18 13:22:32 +0200,2021-03-18 13:23:24 +0200,0.04
2021-03-18 13:23:51 +0200,2021-03-18 13:24:21 +0200,0
2021-03-18 13:31:49 +0200,2021-03-18 13:33:11 +0200,0
2021-03-18 13:54:36 +0200,2021-03-18 13:55:55 +0200,0
2021-03-18 14:23:24 +0200,2021-03-18 14:23:41 +0200,0
2021-03-18 14:25:52 +0200,2021-03-18 14:26:09 +0200,0
2021-03-18 14:39:03 +0200,2021-03-18 14:39:40 +0200,0
2021-03-18 14:44:30 +0200,2021-03-18 14:47:46 +0200,0.01
2021-03-18 14:51:56 +0200,2021-03-18 14:52:22 +0200,0.09
2021-03-18 15:11:38 +0200,2021-03-18 15:13:16 +0200,0
2021-03-18 15:13:44 +0200,2021-03-18 15:14:13 +0200,0
2021-03-18 15:27:02 +0200,2021-03-18 15:28:36 +0200,0
2021-03-18 15:32:51 +0200,2021-03-18 15:33:12 +0200,0
2021-03-18 15:34:37 +0200,2021-03-18 15:34:58 +0200,0
2021-03-18 15:41:15 +0200,2021-03-18 15:41:34 +0200,0
2021-03-18 15:42:54 +0200,2021-03-18 15:43:09 +0200,0
2021-03-18 15:43:33 +0200,2021-03-18 15:43:59 +0200,0
2021-03-18 15:44:54 +0200,2021-03-18 15:45:26 +0200,0
2021-03-18 18:20:34 +0200,2021-03-18 18:21:54 +0200,0
2021-03-18 18:22:49 +0200,2021-03-18 18:27:35 +0200,0
2021-03-18 19:00:47 +0200,2021-03-18 19:01:08 +0200,0
2021-03-18 19:32:15 +0200,2021-03-18 19:37:14 +0200,0.01
2021-03-18 19:48:14 +0200,2021-03-18 19:53:13 +0200,0
2021-03-18 19:53:13 +0200,2021-03-18 19:53:36 +0200,0
2021-03-19 19:07:21 +0200,2021-03-19 19:07:34 +0200,0
2021-03-20 00:08:04 +0200,2021-03-20 00:08:16 +0200,0
2021-03-20 13:09:43 +0200,2021-03-20 13:10:07 +0200,0
2021-03-20 13:11:49 +0200,2021-03-20 13:11:59 +0200,0
2021-03-20 13:18:51 +0200,2021-03-20 13:19:39 +0200,0.37
2021-03-20 13:37:49 +0200,2021-03-20 13:39:15 +0200,0.02
2021-03-20 13:45:15 +0200,2021-03-20 13:47:04 +0200,0.54
2021-03-20 13:50:52 +0200,2021-03-20 13:55:44 +0200,0.08
2021-03-20 13:57:18 +0200,2021-03-20 13:58:09 +0200,0.95
2021-03-20 14:01:32 +0200,2021-03-20 14:03:21 +0200,0.17
2021-03-20 14:11:33 +0200,2021-03-20 14:12:47 +0200,0.14
2021-03-20 14:14:11 +0200,2021-03-20 14:14:40 +0200,0.05
2021-03-20 14:14:54 +0200,2021-03-20 14:17:06 +0200,0.08
2021-03-20 14:18:01 +0200,2021-03-20 14:21:14 +0200,0.03
2021-03-20 14:22:17 +0200,2021-03-20 14:23:23 +0200,0.19
2021-03-20 14:29:10 +0200,2021-03-20 14:30:44 +0200,0.53
2021-03-20 14:31:45 +0200,2021-03-20 14:32:59 +0200,0.31
2021-03-20 14:59:05 +0200,2021-03-20 15:01:16 +0200,0.04
2021-03-20 15:03:02 +0200,2021-03-20 15:03:36 +0200,0.43
2021-03-20 15:04:32 +0200,2021-03-20 15:06:06 +0200,0.13
2021-03-20 15:06:23 +0200,2021-03-20 15:11:23 +0200,0.09
2021-03-20 15:11:23 +0200,2021-03-20 15:14:16 +0200,0.26
2021-03-20 15:45:27 +0200,2021-03-20 15:47:10 +0200,0.04
2021-03-20 20:59:15 +0200,2021-03-20 21:00:14 +0200,0
2021-03-20 21:50:02 +0200,2021-03-20 21:50:20 +0200,0
2021-03-21 13:44:58 +0200,2021-03-21 13:45:31 +0200,0
2021-03-21 14:13:22 +0200,2021-03-21 14:13:44 +0200,0
2021-03-21 14:14:24 +0200,2021-03-21 14:15:04 +0200,0
2021-03-21 14:20:52 +0200,2021-03-21 14:21:10 +0200,0
2021-03-21 14:21:27 +0200,2021-03-21 14:23:03 +0200,0
2021-03-21 14:23:37 +0200,2021-03-21 14:25:51 +0200,0.02
2021-03-21 14:26:06 +0200,2021-03-21 14:27:52 +0200,0.01
2021-03-21 14:28:26 +0200,2021-03-21 14:30:15 +0200,0.08
2021-03-21 14:31:27 +0200,2021-03-21 14:33:19 +0200,0.12
2021-03-21 14:33:30 +0200,2021-03-21 14:35:12 +0200,0.01
2021-03-21 14:35:57 +0200,2021-03-21 14:38:41 +0200,0.01
2021-03-21 14:52:43 +0200,2021-03-21 14:55:05 +0200,0.01
2021-03-21 15:31:08 +0200,2021-03-21 15:32:44 +0200,0.01
2021-03-21 15:36:42 +0200,2021-03-21 15:37:05 +0200,0.13
2021-03-21 15:37:49 +0200,2021-03-21 15:38:37 +0200,0
2021-03-21 15:43:37 +0200,2021-03-21 15:45:51 +0200,0.03
2021-03-21 15:46:15 +0200,2021-03-21 15:47:19 +0200,0.07
2021-03-21 15:47:59 +0200,2021-03-21 15:48:50 +0200,0.05
2021-03-21 15:49:01 +0200,2021-03-21 15:51:19 +0200,0
2021-03-21 15:52:18 +0200,2021-03-21 15:53:20 +0200,0.04
2021-03-21 15:53:39 +0200,2021-03-21 15:54:09 +0200,0.25
2021-03-21 15:54:27 +0200,2021-03-21 15:59:27 +0200,0.01
2021-03-21 15:59:27 +0200,2021-03-21 15:59:59 +0200,0.04
2021-03-21 16:00:28 +0200,2021-03-21 16:01:51 +0200,0
2021-03-21 16:03:11 +0200,2021-03-21 16:08:10 +0200,0.11
2021-03-21 16:08:10 +0200,2021-03-21 16:12:44 +0200,0.07
2021-03-21 16:23:11 +0200,2021-03-21 16:25:08 +0200,0.05
2021-03-21 16:30:07 +0200,2021-03-21 16:30:23 +0200,0.18
2021-03-22 13:47:42 +0200,2021-03-22 13:47:53 +0200,0
2021-03-22 14:39:48 +0200,2021-03-22 14:40:21 +0200,0
2021-03-22 14:43:36 +0200,2021-03-22 14:44:13 +0200,0
2021-03-22 14:45:18 +0200,2021-03-22 14:48:14 +0200,0.13
2021-03-22 14:48:25 +0200,2021-03-22 14:49:15 +0200,0
2021-03-22 14:49:27 +0200,2021-03-22 14:50:09 +0200,0.41
2021-03-22 14:50:21 +0200,2021-03-22 14:51:20 +0200,0.21
2021-03-22 14:51:44 +0200,2021-03-22 14:52:18 +0200,0.18
2021-03-22 15:19:31 +0200,2021-03-22 15:23:07 +0200,0.01
2021-03-22 15:23:48 +0200,2021-03-22 15:25:49 +0200,0.01
2021-03-22 15:26:01 +0200,2021-03-22 15:28:06 +0200,0.02
2021-03-22 15:35:47 +0200,2021-03-22 15:38:58 +0200,0
2021-03-22 15:39:23 +0200,2021-03-22 15:41:10 +0200,0
2021-03-22 15:41:41 +0200,2021-03-22 15:43:24 +0200,0
2021-03-22 15:45:25 +0200,2021-03-22 15:46:43 +0200,0
2021-03-22 15:48:08 +0200,2021-03-22 15:50:49 +0200,0.16
2021-03-22 15:52:21 +0200,2021-03-22 15:53:19 +0200,0.59
2021-03-22 16:02:44 +0200,2021-03-22 16:02:56 +0200,0
